RespondentId,Party,Gender,AgeGroup,Region,SocialGroup,PastVote,Brexit
110,Conservative,Male,45-54,South,AB,Conservative,Remain
111,Conservative,Female,55-64,Scotland,AB,Conservative,Leave
112,Conservative,Male,18-34,Midlands,DE,Conservative,Leave
113,Conservative,Female,18-34,London,C1,Conservative,Leave
114,Conservative,Female,35-44,Wales,DE,Conservative,Leave
115,Conservative,Female,65+,London,DE,Conservative,Leave
116,Conservative,Female,35-44,North,DE,Conservative,Leave
117,Conservative,Male,65+,Midlands,AB,Conservative,Leave
118,Conservative,Female,45-54,Wales,C2,Conservative,Leave
119,Conservative,Male,18-34,South,DE,Conservative,Leave
120,Conservative,Female,65+,North,C1,Conservative,Leave
121,Conservative,Male,35-44,London,C2,Conservative,Remain
122,Conservative,Male,45-54,South,C2,Conservative,Leave
123,Conservative,Female,45-54,South,C1,Conservative,Leave
124,Conservative,Female,45-54,Midlands,C2,Conservative,Remain
125,Conservative,Male,35-44,Wales,AB,Conservative,Leave
126,Conservative,Male,65+,South,C2,Conservative,Leave
127,Conservative,Female,18-34,North,C2,Conservative,Leave
128,Conservative,Male,45-54,London,AB,Conservative,Remain
129,Conservative,Female,35-44,Wales,C2,Conservative,Leave
130,Conservative,Male,18-34,London,C2,Conservative,Remain
131,Conservative,Female,65+,Wales,AB,Conservative,Remain
132,Conservative,Female,55-64,North,C1,Conservative,Remain
133,Conservative,Female,65+,North,AB,Conservative,Remain
134,Conservative,Female,35-44,North,C1,Conservative,Leave
135,Conservative,Male,35-44,Wales,C2,Conservative,Leave
136,Conservative,Male,45-54,Midlands,DE,Conservative,Leave
137,Conservative,Male,65+,London,DE,Conservative,Leave
138,Conservative,Male,55-64,South,C2,Conservative,Remain
139,Conservative,Male,18-34,North,AB,Conservative,Remain
140,Conservative,Female,18-34,South,C1,Conservative,Leave
141,Conservative,Female,45-54,Midlands,AB,Conservative,Remain
142,Conservative,Male,18-34,North,AB,Conservative,Leave
143,Conservative,Male,45-54,South,DE,Conservative,Leave
144,Conservative,Male,55-64,South,AB,Conservative,Leave
145,Conservative,Male,18-34,Wales,DE,Conservative,Leave
146,Conservative,Female,55-64,London,DE,Conservative,Remain
147,Conservative,Male,18-34,Wales,C1,Conservative,Remain
148,Conservative,Male,35-44,London,C1,Conservative,Leave
149,Conservative,Male,55-64,Midlands,C2,Conservative,Remain
150,Conservative,Female,45-54,North,C1,Conservative,Leave
151,Conservative,Female,18-34,Wales,AB,Conservative,Leave
152,Conservative,Male,45-54,North,DE,Conservative,Remain
153,Conservative,Female,35-44,South,DE,Conservative,Leave
154,Conservative,Male,55-64,London,C1,Conservative,Remain
155,Conservative,Male,45-54,Midlands,DE,Conservative,Leave
156,Conservative,Female,18-34,Midlands,C2,Conservative,Leave
157,Conservative,Male,65+,South,C2,Conservative,Remain
158,Conservative,Female,45-54,London,C2,Conservative,Remain
159,Conservative,Male,18-34,Midlands,C1,Conservative,Remain
160,Conservative,Female,35-44,Wales,C2,Conservative,Remain
161,Conservative,Female,35-44,Midlands,DE,Conservative,Remain
162,Conservative,Male,18-34,Midlands,C2,Conservative,Leave
163,Conservative,Male,55-64,Midlands,DE,Conservative,Remain
164,Conservative,Male,18-34,South,C1,Conservative,Remain
165,Conservative,Female,55-64,Midlands,DE,Conservative,Remain
166,Conservative,Female,35-44,London,AB,Conservative,Remain
167,Conservative,Female,18-34,Wales,AB,Conservative,Leave
168,Conservative,Male,18-34,Wales,AB,Conservative,Leave
169,Conservative,Male,65+,Midlands,DE,Conservative,Leave
170,Conservative,Female,45-54,South,C1,Conservative,Remain
171,Conservative,Male,18-34,South,C2,Conservative,Remain
172,Conservative,Male,18-34,Wales,DE,Conservative,Remain
173,Conservative,Male,35-44,Wales,AB,Conservative,Remain
174,Conservative,Female,45-54,North,C2,Conservative,Remain
175,Conservative,Female,18-34,London,AB,Conservative,Remain
176,Conservative,Female,35-44,Wales,DE,Conservative,Remain
177,Conservative,Male,35-44,North,C1,Conservative,Remain
178,Conservative,Female,65+,North,DE,Conservative,Remain
179,Conservative,Male,35-44,Wales,DE,Conservative,Leave
180,Conservative,Female,35-44,Wales,AB,Conservative,Remain
181,Conservative,Male,55-64,London,AB,Conservative,Remain
182,Conservative,Female,18-34,Midlands,AB,Conservative,Remain
183,Conservative,Female,35-44,Midlands,AB,Conservative,Remain
184,Conservative,Female,18-34,Wales,DE,Conservative,Remain
185,Conservative,Male,65+,South,C2,Conservative,Leave
186,Conservative,Female,35-44,Midlands,DE,Conservative,Remain
187,Conservative,Female,45-54,Midlands,C1,Conservative,Leave
188,Conservative,Male,65+,North,C2,Conservative,Leave
189,Conservative,Female,55-64,Midlands,C2,Conservative,Leave
190,Conservative,Female,18-34,South,DE,Conservative,Leave
191,Conservative,Female,45-54,Midlands,C2,Conservative,Leave
192,Conservative,Female,65+,South,C2,Conservative,Leave
193,Conservative,Female,18-34,Wales,AB,Conservative,Leave
194,Conservative,Female,18-34,South,DE,Conservative,Leave
195,Conservative,Female,55-64,Wales,AB,Conservative,Leave
196,Conservative,Female,55-64,Midlands,AB,Conservative,Leave
197,Conservative,Male,35-44,North,C2,Conservative,Leave
198,Conservative,Female,65+,North,DE,Conservative,Leave
199,Conservative,Male,18-34,Wales,AB,Conservative,Leave
200,Conservative,Male,35-44,North,DE,Conservative,Leave
201,Conservative,Female,55-64,South,DE,Conservative,Leave
202,Conservative,Female,45-54,South,C2,Conservative,Leave
203,Conservative,Male,55-64,North,AB,Conservative,Leave
204,Conservative,Male,55-64,Midlands,AB,Conservative,Leave
205,Conservative,Female,18-34,Wales,DE,Conservative,Leave
206,Conservative,Female,35-44,Wales,DE,Conservative,Leave
207,Conservative,Male,65+,South,AB,Conservative,Leave
208,Conservative,Female,45-54,Wales,C2,Conservative,Leave
209,Conservative,Male,18-34,Wales,C2,Conservative,Leave
210,Conservative,Female,45-54,South,C2,Conservative,Leave
211,Conservative,Male,55-64,Midlands,C2,Conservative,Leave
212,Conservative,Female,55-64,Midlands,DE,Conservative,Leave
213,Conservative,Male,35-44,Midlands,AB,Conservative,Leave
214,Conservative,Male,65+,South,DE,Conservative,Leave
215,Conservative,Male,55-64,Wales,DE,Conservative,Leave
216,Conservative,Male,65+,South,DE,Conservative,Leave
217,Conservative,Male,18-34,South,C2,Conservative,Leave
218,Conservative,Male,55-64,Midlands,C2,Conservative,Leave
219,Conservative,Male,18-34,North,AB,Conservative,Leave
220,Conservative,Female,55-64,South,AB,Conservative,Leave
221,Conservative,Female,45-54,Wales,DE,Conservative,Leave
222,Conservative,Female,65+,South,C2,Conservative,Leave
223,Conservative,Female,55-64,Midlands,AB,Conservative,Leave
224,Conservative,Female,65+,Midlands,AB,Conservative,Leave
225,Conservative,Female,65+,Midlands,AB,Conservative,Leave
226,Conservative,Male,65+,Wales,C2,Conservative,Leave
227,Conservative,Male,45-54,North,AB,Conservative,Leave
228,Conservative,Female,45-54,South,DE,Conservative,Leave
229,Conservative,Female,45-54,North,C2,Conservative,Leave
230,Conservative,Female,65+,Midlands,AB,Conservative,Leave
231,Conservative,Female,45-54,Wales,AB,Conservative,Leave
232,Conservative,Female,65+,North,AB,Conservative,Leave
233,Conservative,Male,65+,Midlands,DE,Conservative,Leave
234,Conservative,Male,55-64,Wales,AB,Conservative,Leave
235,Conservative,Male,55-64,South,DE,Conservative,Leave
236,Conservative,Female,55-64,Wales,AB,Conservative,Leave
237,Conservative,Female,45-54,Wales,C2,Conservative,Leave
238,Conservative,Male,55-64,Wales,AB,Conservative,Leave
239,Conservative,Male,55-64,Wales,AB,Conservative,Leave
240,Conservative,Female,55-64,North,AB,Conservative,Leave
241,Conservative,Male,45-54,South,C2,Conservative,Leave
242,Conservative,Female,55-64,Wales,AB,Conservative,Leave
243,Conservative,Male,55-64,Midlands,AB,Conservative,Leave
244,Conservative,Female,65+,North,AB,Conservative,Leave
245,Conservative,Male,55-64,South,AB,Conservative,Leave
246,Conservative,Female,45-54,North,AB,Conservative,Leave
247,Conservative,Female,65+,South,C2,Conservative,Leave
248,Conservative,Male,65+,South,DE,Conservative,Leave
249,Conservative,Male,45-54,Wales,C2,Conservative,Leave
250,Conservative,Male,55-64,South,AB,Conservative,Leave
251,Conservative,Female,45-54,Midlands,AB,Conservative,Leave
252,Conservative,Male,65+,Wales,AB,Conservative,Leave
253,Conservative,Male,45-54,North,AB,Conservative,Leave
254,Conservative,Female,45-54,Wales,DE,Conservative,Leave
255,Conservative,Female,55-64,Wales,AB,Conservative,Leave
256,Conservative,Female,45-54,Wales,C2,Conservative,Leave
257,Conservative,Female,65+,South,C2,Conservative,Leave
258,Conservative,Male,65+,North,C2,Conservative,Leave
259,Conservative,Male,45-54,North,AB,Conservative,Leave
260,Conservative,Male,45-54,Wales,DE,Conservative,Leave
261,Conservative,Male,45-54,Midlands,DE,Conservative,Leave
262,Conservative,Female,45-54,Wales,DE,Conservative,Leave
263,Conservative,Female,45-54,Wales,C2,Conservative,Leave
264,Conservative,Female,65+,North,DE,Conservative,Leave
265,Conservative,Female,65+,North,DE,Conservative,Leave
266,Conservative,Male,65+,North,C2,Conservative,Leave
267,Conservative,Male,45-54,North,DE,Conservative,Leave
268,Conservative,Male,45-54,Wales,C2,Conservative,Leave
269,Conservative,Male,45-54,South,DE,Conservative,Leave
270,Conservative,Female,45-54,South,C2,Conservative,Leave
271,Conservative,Female,65+,Midlands,DE,Conservative,Leave
272,Conservative,Female,65+,Midlands,DE,Conservative,Leave
273,Conservative,Female,65+,Midlands,C2,Conservative,Leave
274,Conservative,Male,65+,North,DE,Conservative,Leave
275,Conservative,Female,45-54,Wales,C2,Conservative,Leave
276,Conservative,Female,65+,Midlands,C2,Conservative,Leave
277,Conservative,Male,45-54,Midlands,DE,Conservative,Leave
278,Conservative,Male,65+,South,DE,Conservative,Leave
279,Conservative,Female,45-54,South,DE,Conservative,Leave
280,Conservative,Male,65+,South,DE,Conservative,Leave
281,Conservative,Male,65+,Wales,DE,Conservative,Leave
282,Conservative,Female,65+,Midlands,C2,Conservative,Leave
283,Conservative,Male,65+,Midlands,DE,Conservative,Leave
284,Conservative,Female,45-54,South,C2,Conservative,Leave
285,Conservative,Female,65+,South,C2,Conservative,Leave
286,Conservative,Female,65+,Wales,C2,Conservative,Leave
287,Conservative,Female,45-54,Wales,C2,Conservative,Leave
288,Conservative,Female,45-54,Midlands,DE,Conservative,Leave
289,Conservative,Male,45-54,South,DE,Conservative,Leave
290,Conservative,Male,45-54,South,C2,Conservative,Leave
291,Conservative,Female,65+,Midlands,C2,Conservative,Leave
292,Conservative,Female,65+,South,C2,Conservative,Leave
293,Conservative,Female,45-54,Midlands,DE,Conservative,Leave
294,Conservative,Male,65+,South,C2,Conservative,Leave
295,Conservative,Female,45-54,South,C2,Conservative,Leave
296,Conservative,Female,65+,Midlands,DE,Conservative,Leave
297,Conservative,Male,65+,North,DE,Conservative,Did not vote
298,Conservative,Male,65+,South,DE,Conservative,Did not vote
299,Conservative,Female,65+,Midlands,DE,Conservative,Did not vote
300,Conservative,Male,65+,Wales,DE,Conservative,Did not vote
301,Conservative,Female,65+,Wales,DE,Conservative,Did not vote
302,Conservative,Female,65+,North,DE,Conservative,Did not vote
303,Conservative,Female,65+,North,DE,Conservative,Did not vote
304,Conservative,Male,65+,Wales,DE,Conservative,Did not vote
305,Conservative,Female,65+,South,DE,Conservative,Did not vote
306,Conservative,Male,65+,South,DE,Conservative,Did not vote
307,Conservative,Male,65+,South,DE,Conservative,Did not vote
308,Conservative,Female,65+,Wales,DE,Conservative,Did not vote
309,Conservative,Female,65+,South,DE,Conservative,Did not vote
310,Conservative,Female,65+,South,DE,Conservative,Did not vote
311,Conservative,Male,65+,South,DE,Conservative,Did not vote
312,Conservative,Female,65+,South,DE,Conservative,Did not vote
313,Conservative,Male,65+,South,DE,Conservative,Did not vote
314,Conservative,Male,65+,South,DE,Conservative,Did not vote
315,Conservative,Female,65+,South,DE,Conservative,Did not vote
316,Conservative,Female,65+,North,DE,Conservative,Did not vote
317,Conservative,Female,65+,Wales,DE,Conservative,Did not vote
318,Conservative,Male,65+,Wales,DE,Conservative,Did not vote
319,Conservative,Male,65+,North,DE,Conservative,Did not vote
320,Conservative,Male,65+,Wales,DE,Conservative,Did not vote
321,Conservative,Female,65+,Wales,DE,Conservative,Did not vote
322,Conservative,Female,65+,North,DE,Conservative,Did not vote
323,Conservative,Male,65+,South,DE,Conservative,Did not vote
324,Conservative,Male,65+,North,DE,Conservative,Did not vote
325,Conservative,Female,65+,Wales,DE,Conservative,Did not vote
326,Conservative,Female,65+,Wales,DE,Conservative,Did not vote
327,Conservative,Male,65+,North,DE,Conservative,Did not vote
328,Conservative,Male,65+,North,DE,Conservative,Did not vote
329,Conservative,Male,65+,North,DE,Conservative,Did not vote
330,Conservative,Male,65+,North,DE,Conservative,Did not vote
331,Conservative,Male,65+,South,DE,Conservative,Did not vote
332,Conservative,Male,65+,South,DE,Conservative,Did not vote
333,Conservative,Male,65+,North,DE,Conservative,Did not vote
334,Conservative,Male,65+,Wales,DE,Conservative,Did not vote
335,Conservative,Male,65+,Wales,DE,Conservative,Did not vote
336,Conservative,Male,65+,South,DE,Conservative,Did not vote
337,Conservative,Male,65+,Wales,DE,Conservative,Did not vote
338,Conservative,Male,65+,Wales,DE,Conservative,Did not vote
339,Conservative,Male,65+,Wales,DE,Conservative,Did not vote
340,Conservative,Male,65+,North,DE,Conservative,Did not vote
341,Conservative,Male,65+,North,DE,Conservative,Did not vote
342,Conservative,Male,65+,Wales,DE,Conservative,Did not vote
343,Conservative,Male,65+,North,DE,Conservative,Did not vote
344,Conservative,Male,65+,North,DE,Conservative,Did not vote
345,Labour,Female,65+,Midlands,C2,Liberal Democrats,Leave
346,Labour,Female,65+,Wales,C2,Conservative,Leave
347,Labour,Female,35-44,Northern Ireland,C2,Other,Remain
348,Labour,Female,18-34,London,AB,Labour,Leave
349,Labour,Male,18-34,Wales,AB,Labour,Remain
350,Labour,Male,65+,Scotland,AB,Labour,Remain
351,Labour,Male,65+,South,DE,Labour,Leave
352,Labour,Male,65+,North,AB,Labour,Leave
353,Labour,Female,65+,Scotland,C1,Labour,Leave
354,Labour,Male,35-44,South,DE,Labour,Remain
355,Labour,Female,45-54,London,DE,Labour,Leave
356,Labour,Male,18-34,Midlands,AB,Labour,Remain
357,Labour,Female,45-54,South,C1,Labour,Leave
358,Labour,Male,55-64,Wales,C1,Labour,Remain
359,Labour,Female,45-54,Midlands,DE,Labour,Leave
360,Labour,Male,45-54,Scotland,AB,Labour,Leave
361,Labour,Male,65+,London,AB,Labour,Remain
362,Labour,Male,65+,Scotland,C2,Labour,Leave
363,Labour,Male,45-54,Midlands,C2,Labour,Leave
364,Labour,Male,18-34,Midlands,C1,Labour,Leave
365,Labour,Female,45-54,Wales,C1,Labour,Leave
366,Labour,Male,18-34,Midlands,C2,Labour,Remain
367,Labour,Female,45-54,Wales,DE,Labour,Leave
368,Labour,Male,35-44,London,AB,Labour,Leave
369,Labour,Female,18-34,South,AB,Labour,Remain
370,Labour,Male,45-54,London,C2,Labour,Leave
371,Labour,Male,65+,London,C2,Labour,Leave
372,Labour,Male,45-54,Midlands,C2,Labour,Remain
373,Labour,Male,65+,North,AB,Labour,Remain
374,Labour,Male,55-64,South,C2,Labour,Leave
375,Labour,Female,18-34,North,AB,Labour,Remain
376,Labour,Female,35-44,South,C2,Labour,Remain
377,Labour,Female,18-34,North,C1,Labour,Remain
378,Labour,Female,35-44,Wales,C2,Labour,Leave
379,Labour,Female,65+,Wales,C1,Labour,Leave
380,Labour,Female,65+,Wales,DE,Labour,Leave
381,Labour,Male,45-54,Scotland,DE,Labour,Remain
382,Labour,Female,45-54,Midlands,DE,Labour,Leave
383,Labour,Female,55-64,London,AB,Labour,Leave
384,Labour,Male,55-64,North,AB,Labour,Leave
385,Labour,Male,45-54,South,AB,Labour,Leave
386,Labour,Female,65+,Midlands,C2,Labour,Remain
387,Labour,Female,65+,London,DE,Labour,Remain
388,Labour,Female,18-34,North,C1,Labour,Remain
389,Labour,Female,18-34,Scotland,C2,Labour,Leave
390,Labour,Male,18-34,South,AB,Labour,Leave
391,Labour,Male,45-54,Wales,C2,Labour,Remain
392,Labour,Female,35-44,Scotland,DE,Labour,Leave
393,Labour,Female,45-54,Midlands,C2,Labour,Leave
394,Labour,Female,18-34,Midlands,C1,Labour,Remain
395,Labour,Female,55-64,North,DE,Labour,Leave
396,Labour,Male,45-54,North,C2,Labour,Leave
397,Labour,Male,35-44,North,AB,Labour,Remain
398,Labour,Male,18-34,London,C1,Labour,Remain
399,Labour,Male,65+,Wales,C1,Labour,Leave
400,Labour,Female,65+,Midlands,AB,Labour,Leave
401,Labour,Female,18-34,Midlands,DE,Labour,Remain
402,Labour,Female,18-34,London,C1,Labour,Remain
403,Labour,Male,65+,South,AB,Labour,Remain
404,Labour,Male,65+,South,AB,Labour,Remain
405,Labour,Female,55-64,North,DE,Labour,Leave
406,Labour,Female,35-44,Scotland,AB,Labour,Remain
407,Labour,Male,18-34,North,DE,Labour,Leave
408,Labour,Male,35-44,Scotland,DE,Labour,Remain
409,Labour,Male,55-64,South,C2,Labour,Leave
410,Labour,Female,45-54,Scotland,C1,Labour,Remain
411,Labour,Male,55-64,Wales,C1,Labour,Leave
412,Labour,Male,45-54,South,C2,Labour,Leave
413,Labour,Male,18-34,South,C1,Labour,Remain
414,Labour,Female,35-44,South,C1,Labour,Remain
415,Labour,Male,45-54,Wales,C2,Labour,Remain
416,Labour,Female,55-64,Midlands,C2,Labour,Remain
417,Labour,Male,65+,Scotland,DE,Labour,Leave
418,Labour,Male,35-44,Wales,C1,Labour,Remain
419,Labour,Male,35-44,South,C2,Labour,Remain
420,Labour,Female,65+,South,DE,Labour,Remain
421,Labour,Female,65+,Scotland,DE,Labour,Leave
422,Labour,Male,65+,Midlands,AB,Labour,Leave
423,Labour,Female,55-64,Midlands,C2,Labour,Remain
424,Labour,Female,35-44,Scotland,DE,Labour,Remain
425,Labour,Female,18-34,Scotland,C1,Labour,Remain
426,Labour,Female,65+,Midlands,C1,Labour,Leave
427,Labour,Male,35-44,Wales,DE,Labour,Remain
428,Labour,Male,18-34,Midlands,AB,Labour,Leave
429,Labour,Male,18-34,London,C1,Labour,Remain
430,Labour,Male,65+,North,C1,Labour,Remain
431,Labour,Female,65+,Wales,DE,Labour,Leave
432,Labour,Female,18-34,Scotland,AB,Labour,Leave
433,Labour,Female,35-44,Wales,C1,Labour,Remain
434,Labour,Female,55-64,London,DE,Labour,Leave
435,Labour,Female,35-44,Midlands,DE,Labour,Leave
436,Labour,Female,35-44,London,C1,Labour,Remain
437,Labour,Male,65+,London,AB,Labour,Remain
438,Labour,Male,55-64,London,AB,Labour,Leave
439,Labour,Male,65+,Wales,DE,Labour,Remain
440,Labour,Male,18-34,North,DE,Labour,Leave
441,Labour,Male,55-64,Scotland,C2,Labour,Remain
442,Labour,Male,18-34,Midlands,C1,Labour,Remain
443,Labour,Female,65+,Wales,C2,Labour,Leave
444,Labour,Female,35-44,London,AB,Labour,Leave
445,Labour,Male,35-44,North,C2,Labour,Leave
446,Labour,Male,45-54,Scotland,C1,Labour,Remain
447,Labour,Male,45-54,Midlands,AB,Labour,Leave
448,Labour,Female,65+,Wales,AB,Labour,Leave
449,Labour,Male,65+,London,AB,Labour,Leave
450,Labour,Male,45-54,South,DE,Labour,Remain
451,Labour,Male,55-64,Wales,DE,Labour,Remain
452,Labour,Female,45-54,Midlands,C1,Labour,Remain
453,Labour,Male,55-64,London,DE,Labour,Remain
454,Labour,Male,45-54,North,AB,Labour,Leave
455,Labour,Male,55-64,North,DE,Labour,Leave
456,Labour,Female,55-64,Scotland,AB,Labour,Leave
457,Labour,Female,45-54,Midlands,C1,Labour,Leave
458,Labour,Male,45-54,North,AB,Labour,Remain
459,Labour,Female,65+,North,AB,Labour,Leave
460,Labour,Female,35-44,Scotland,C2,Labour,Leave
461,Labour,Male,45-54,Midlands,C2,Labour,Remain
462,Labour,Male,45-54,London,C1,Labour,Leave
463,Labour,Male,18-34,North,DE,Labour,Remain
464,Labour,Male,18-34,London,AB,Labour,Leave
465,Labour,Female,18-34,North,AB,Labour,Remain
466,Labour,Female,65+,North,C1,Labour,Remain
467,Labour,Female,55-64,South,C2,Labour,Leave
468,Labour,Male,18-34,London,C2,Labour,Remain
469,Labour,Female,18-34,North,AB,Labour,Remain
470,Labour,Female,45-54,South,DE,Labour,Remain
471,Labour,Male,35-44,London,C2,Labour,Leave
472,Labour,Female,45-54,North,DE,Labour,Leave
473,Labour,Male,18-34,Midlands,AB,Labour,Leave
474,Labour,Male,35-44,South,C1,Labour,Leave
475,Labour,Female,18-34,North,DE,Labour,Leave
476,Labour,Female,45-54,Wales,C2,Labour,Remain
477,Labour,Female,65+,London,AB,Labour,Remain
478,Labour,Male,45-54,North,AB,Labour,Remain
479,Labour,Female,55-64,London,C2,Labour,Remain
480,Labour,Female,55-64,South,C2,Labour,Remain
481,Labour,Male,65+,Midlands,DE,Labour,Remain
482,Labour,Male,45-54,London,C1,Labour,Remain
483,Labour,Male,18-34,North,AB,Labour,Remain
484,Labour,Female,55-64,Wales,C2,Labour,Remain
485,Labour,Female,65+,North,DE,Labour,Remain
486,Labour,Female,55-64,North,C2,Labour,Remain
487,Labour,Male,18-34,South,C1,Labour,Remain
