Party,Gender,AgeGroup,Region,SocialGroup,PastVote,Brexit,Poll
Conservative,Female,65+,North,AB,Conservative,Leave,survation-27-apr
Conservative,Female,65+,North,DE,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,London,C2,Conservative,Remain,survation-27-apr
Conservative,Male,35-44,North,AB,Conservative,Remain,survation-27-apr
Conservative,Male,35-44,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,65+,London,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,London,AB,Conservative,Remain,survation-27-apr
Conservative,Male,55-64,North,C2,Conservative,Remain,survation-27-apr
Conservative,Female,18-34,London,C2,Conservative,Remain,survation-27-apr
Conservative,Male,45-54,London,DE,Conservative,Remain,survation-27-apr
Conservative,Male,18-34,North,AB,Conservative,Remain,survation-27-apr
Conservative,Male,45-54,London,C2,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,North,C2,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,London,AB,Conservative,Remain,survation-27-apr
Conservative,Male,18-34,North,DE,Conservative,Remain,survation-27-apr
Conservative,Male,35-44,Midlands,DE,Conservative,Remain,survation-27-apr
Conservative,Female,55-64,Midlands,DE,Conservative,Remain,survation-27-apr
Conservative,Female,45-54,Midlands,C2,Conservative,Remain,survation-27-apr
Conservative,Female,18-34,South,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Midlands,C1,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,North,DE,Conservative,Remain,survation-27-apr
Conservative,Male,45-54,London,C2,Conservative,Remain,survation-27-apr
Conservative,Female,45-54,London,DE,Conservative,Remain,survation-27-apr
Conservative,Male,35-44,South,C1,Conservative,Remain,survation-27-apr
Conservative,Male,18-34,South,C2,Conservative,Remain,survation-27-apr
Conservative,Female,65+,London,DE,Conservative,Remain,survation-27-apr
Conservative,Male,65+,North,C2,Conservative,Remain,survation-27-apr
Conservative,Male,55-64,London,C2,Conservative,Remain,survation-27-apr
Conservative,Female,35-44,London,C1,Conservative,Remain,survation-27-apr
Conservative,Female,35-44,Wales,C1,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,London,C2,Conservative,Remain,survation-27-apr
Conservative,Male,45-54,Midlands,C2,Conservative,Remain,survation-27-apr
Conservative,Male,55-64,South,AB,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,Midlands,DE,Conservative,Remain,survation-27-apr
Conservative,Male,55-64,London,C2,Conservative,Remain,survation-27-apr
Conservative,Female,35-44,Wales,C1,Conservative,Remain,survation-27-apr
Conservative,Male,65+,North,C2,Conservative,Leave,survation-27-apr
Conservative,Male,65+,North,AB,Conservative,Remain,survation-27-apr
Conservative,Male,65+,London,AB,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,South,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Wales,DE,Conservative,Remain,survation-27-apr
Conservative,Female,65+,North,AB,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,London,DE,Conservative,Remain,survation-27-apr
Conservative,Male,18-34,London,AB,Conservative,Leave,survation-27-apr
Conservative,Male,65+,London,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,London,C2,Conservative,Remain,survation-27-apr
Conservative,Male,55-64,London,C2,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,South,AB,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Midlands,C1,Conservative,Remain,survation-27-apr
Conservative,Male,55-64,South,C2,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,South,C1,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,South,C1,Conservative,Remain,survation-27-apr
Conservative,Male,55-64,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Female,65+,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,London,C2,Conservative,Remain,survation-27-apr
Conservative,Male,18-34,London,AB,Conservative,Remain,survation-27-apr
Conservative,Female,45-54,London,AB,Conservative,Remain,survation-27-apr
Conservative,Male,55-64,Midlands,C1,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Male,65+,North,DE,Conservative,Remain,survation-27-apr
Conservative,Female,65+,South,DE,Conservative,Remain,survation-27-apr
Conservative,Female,65+,South,DE,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,South,C1,Conservative,Remain,survation-27-apr
Conservative,Female,45-54,North,C2,Conservative,Leave,survation-27-apr
Conservative,Male,65+,South,C1,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,South,C2,Conservative,Remain,survation-27-apr
Conservative,Female,18-34,London,C1,Conservative,Remain,survation-27-apr
Conservative,Male,45-54,South,C2,Conservative,Remain,survation-27-apr
Conservative,Female,45-54,London,C1,Conservative,Remain,survation-27-apr
Conservative,Female,65+,London,C1,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,South,C1,Conservative,Remain,survation-27-apr
Conservative,Male,18-34,Midlands,AB,Conservative,Remain,survation-27-apr
Conservative,Female,65+,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,Wales,AB,Conservative,Remain,survation-27-apr
Conservative,Female,65+,South,C1,Conservative,Remain,survation-27-apr
Conservative,Female,35-44,South,C2,Conservative,Leave,survation-27-apr
Conservative,Male,65+,London,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,London,C2,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,North,C2,Conservative,Remain,survation-27-apr
Conservative,Female,18-34,South,C1,Conservative,Remain,survation-27-apr
Conservative,Female,55-64,Wales,C1,Conservative,Remain,survation-27-apr
Conservative,Male,35-44,North,C1,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,London,C1,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,North,DE,Conservative,Remain,survation-27-apr
Conservative,Male,18-34,Midlands,C1,Conservative,Remain,survation-27-apr
Conservative,Male,45-54,Midlands,DE,Conservative,Remain,survation-27-apr
Conservative,Female,45-54,South,AB,Conservative,Leave,survation-27-apr
Conservative,Male,65+,South,C2,Conservative,Remain,survation-27-apr
Conservative,Male,18-34,London,C2,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Midlands,C1,Conservative,Remain,survation-27-apr
Conservative,Female,18-34,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,London,C2,Conservative,Remain,survation-27-apr
Conservative,Female,45-54,London,C1,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,London,C1,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,South,C1,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,North,C1,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Female,65+,North,DE,Conservative,Remain,survation-27-apr
Conservative,Female,35-44,Midlands,C1,Conservative,Remain,survation-27-apr
Conservative,Female,55-64,North,DE,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,South,C2,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,London,DE,Conservative,Remain,survation-27-apr
Conservative,Female,55-64,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,North,C1,Conservative,Remain,survation-27-apr
Conservative,Male,45-54,Wales,C1,Conservative,Leave,survation-27-apr
Conservative,Male,65+,North,DE,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,South,C2,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,London,C2,Conservative,Leave,survation-27-apr
Conservative,Male,65+,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,South,C2,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Male,65+,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,North,C2,Conservative,Leave,survation-27-apr
Conservative,Male,65+,London,C2,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,London,C2,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Midlands,C2,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,North,C2,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,South,DE,Conservative,Leave,survation-27-apr
Conservative,Male,65+,Midlands,C2,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,North,C2,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,South,DE,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,London,DE,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,North,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,London,C2,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,North,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,North,DE,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,South,AB,Conservative,Leave,survation-27-apr
Conservative,Male,65+,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,North,C2,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,Midlands,C2,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,65+,South,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,South,AB,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,South,C2,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,Midlands,C2,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,South,C2,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,South,C2,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,North,C2,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,65+,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Female,65+,South,C2,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,65+,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,North,C2,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,South,C2,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,South,C2,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Midlands,C2,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,South,C2,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Midlands,C2,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Midlands,C2,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,North,DE,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,Midlands,C2,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,South,C2,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,North,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,North,DE,Conservative,Leave,survation-27-apr
Conservative,Male,65+,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,North,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,South,C2,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,North,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,North,AB,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,South,DE,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Male,65+,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,South,DE,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,North,AB,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,Wales,C2,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Midlands,C2,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,South,C2,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,South,DE,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,South,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,South,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,South,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,South,DE,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,South,DE,Conservative,Leave,survation-27-apr
Conservative,Male,65+,South,AB,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,South,DE,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Male,65+,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,North,DE,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,South,DE,Conservative,Leave,survation-27-apr
Conservative,Male,65+,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,North,DE,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,65+,North,DE,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,35-44,South,DE,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,North,AB,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,South,DE,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Female,65+,North,DE,Conservative,Leave,survation-27-apr
Conservative,Male,65+,South,AB,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,North,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,South,DE,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,Midlands,AB,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,North,AB,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Female,55-64,North,AB,Conservative,Leave,survation-27-apr
Conservative,Female,65+,North,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,South,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,South,AB,Conservative,Leave,survation-27-apr
Conservative,Female,65+,South,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Wales,DE,Conservative,Did not vote,survation-27-apr
Conservative,Male,45-54,Wales,DE,Conservative,Did not vote,survation-27-apr
Conservative,Male,45-54,Midlands,AB,Conservative,Did not vote,survation-27-apr
Conservative,Male,45-54,Wales,AB,Conservative,Did not vote,survation-27-apr
Conservative,Female,65+,North,AB,Conservative,Did not vote,survation-27-apr
Conservative,Male,55-64,Wales,AB,Conservative,Did not vote,survation-27-apr
Conservative,Female,45-54,Wales,DE,Conservative,Did not vote,survation-27-apr
Conservative,Male,45-54,South,DE,Conservative,Did not vote,survation-27-apr
Conservative,Female,45-54,North,DE,Conservative,Did not vote,survation-27-apr
Conservative,Female,45-54,Wales,DE,Conservative,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Conservative,Did not vote,survation-27-apr
Conservative,Male,65+,South,DE,Conservative,Did not vote,survation-27-apr
Conservative,Male,45-54,South,DE,Conservative,Did not vote,survation-27-apr
Conservative,Female,45-54,North,DE,Conservative,Did not vote,survation-27-apr
Conservative,Male,65+,South,DE,Conservative,Did not vote,survation-27-apr
Conservative,Male,65+,Wales,DE,Conservative,Did not vote,survation-27-apr
Conservative,Female,45-54,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,North,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,North,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Male,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Male,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,North,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,North,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,North,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,North,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,North,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,North,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Conservative,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Labour,Female,55-64,Northern Ireland,DE,Liberal Democrats,Remain,survation-27-apr
